,Q6_1_venting,Q6_2_problem,Q6_3_solution,Q6_4_other,Q8_1_medical_role_expectations,Q8_2_safety_transparency,Q8_3_discrimination_bias,Q8_4_media_portrayal,Q8_5_patient_behavior_expectations,Q8_6_political_economic_climate,Q8_7_social_determinants_health,Q8_8_stigmatization_mental_illness,Q9_1_autonomy,Q9_2_collaboration_competition,Q9_5_setting,Q9_6_mentorship,Q9_7_physical_conditions,Q9_8_professional_relationships,Q9_10_student_patient_focus,Q9_11_team_structures_functionality,Q9_12_workplace_safety_violence,Q10_1_accreditation_assessment_ratings,Q10_2_documentation_reporting,Q10_3_hr_policies_compensation,Q10_5_insurance_company_policies,Q10_6_litigation_risk,Q10_7_licensure_certification_maintenance,Q10_8_national_state_policies,Q10_9_reimbursement_structure,Q10_10_shifting_requirements,Q11_1_administrative_responsibility,Q11_2_responsibility_authority_alignment,Q11_3_clinical_responsibility,Q11_4_career_stage,Q11_5_patient_population,Q11_6_specialty_related_issues,Q11_7_student_responsibility,Q11_8_teaching_research_responsibility,Q12_1_bureaucracy,Q12_2_congruent_mission_values,Q12_3_culture_leadership_staff,Q12_4_data_collection,Q12_6_harassment_discrimination,Q12_7_team_support,Q12_8_power_dynamics,Q12_9_prof_dev_opportunities,Q12_10_scope_practice,Q12_11_workload_performance_compensation,Q13_2_inclusion_connectivity,Q13_3_family_dynamics,Q13_4_financial_stress,Q13_5_flexibility_adaptability,Q13_6_work_engagement_purpose,Q13_7_personality_traits,Q13_8_values_ethics_morals,Q13_9_physical_mental_wellbeing,Q13_10_relationships_social_support,Q13_11_sense_meaning,Q13_12_work_life_integration,Q14_1_clinical_competency_experience,Q14_2_communication_skills,Q14_3_coping_skills,Q14_4_delegation,Q14_5_empathy,Q14_6_management_leadership,Q14_8_optimizing_work_flow,Q14_9_organizational_skills,Q14_10_resilience_skills,Q14_11_teamwork_skills
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1
2,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1
3,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
7,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
8,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1
9,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
