,0
Q6_1_venting,28
Q6_2_problem,27
Q6_3_solution,15
Q6_4_other,13
Q8_1_medical_role_expectations,15
Q8_2_safety_transparency,9
Q8_3_discrimination_bias,1
Q8_4_media_portrayal,1
Q8_5_patient_behavior_expectations,15
Q8_6_political_economic_climate,4
Q8_7_social_determinants_health,16
Q8_8_stigmatization_mental_illness,1
Q9_1_autonomy,11
Q9_2_collaboration_competition,13
Q9_5_setting,15
Q9_6_mentorship,2
Q9_7_physical_conditions,22
Q9_8_professional_relationships,13
Q9_10_student_patient_focus,5
Q9_11_team_structures_functionality,27
Q9_12_workplace_safety_violence,23
Q10_1_accreditation_assessment_ratings,6
Q10_2_documentation_reporting,5
Q10_3_hr_policies_compensation,10
Q10_5_insurance_company_policies,2
Q10_6_litigation_risk,1
Q10_7_licensure_certification_maintenance,2
Q10_8_national_state_policies,2
Q10_9_reimbursement_structure,6
Q10_10_shifting_requirements,2
Q11_1_administrative_responsibility,3
Q11_2_responsibility_authority_alignment,8
Q11_3_clinical_responsibility,26
Q11_4_career_stage,5
Q11_5_patient_population,15
Q11_6_specialty_related_issues,23
Q11_7_student_responsibility,3
Q11_8_teaching_research_responsibility,1
Q12_1_bureaucracy,5
Q12_2_congruent_mission_values,7
Q12_3_culture_leadership_staff,16
Q12_4_data_collection,1
Q12_6_harassment_discrimination,2
Q12_7_team_support,22
Q12_8_power_dynamics,19
Q12_9_prof_dev_opportunities,5
Q12_10_scope_practice,6
Q12_11_workload_performance_compensation,22
Q13_2_inclusion_connectivity,3
Q13_3_family_dynamics,4
Q13_4_financial_stress,3
Q13_5_flexibility_adaptability,3
Q13_6_work_engagement_purpose,10
Q13_7_personality_traits,5
Q13_8_values_ethics_morals,12
Q13_9_physical_mental_wellbeing,12
Q13_10_relationships_social_support,7
Q13_11_sense_meaning,4
Q13_12_work_life_integration,13
Q14_1_clinical_competency_experience,6
Q14_2_communication_skills,4
Q14_3_coping_skills,18
Q14_4_delegation,1
Q14_5_empathy,17
Q14_6_management_leadership,6
Q14_8_optimizing_work_flow,7
Q14_9_organizational_skills,2
Q14_10_resilience_skills,12
Q14_11_teamwork_skills,12
