,response_id,action,feeling
0,resp_0000,all,hope
1,resp_0001,all,hope
2,resp_0002,all,hope
3,resp_0003,all,hope
4,resp_0004,all,hope
5,resp_0005,all,hope
6,resp_0006,all,hope
7,resp_0007,all,hope
8,resp_0008,communicating,hope
9,resp_0009,communicating,hope
10,resp_0010,communicating,hope
11,resp_0011,communicating,hope
12,resp_0012,communicating,hope
13,resp_0013,communicating,hope
14,resp_0014,communicating,hope
15,resp_0015,engaging,hope
16,resp_0016,engaging,hope
17,resp_0017,engaging,hope
18,resp_0018,engaging,hope
19,resp_0019,engaging,hope
20,resp_0020,engaging,hope
21,resp_0021,engaging,hope
22,resp_0022,engaging,hope
23,resp_0023,engaging,hope
24,resp_0024,engaging,hope
25,resp_0025,engaging,hope
26,resp_0026,advocating,hope
27,resp_0027,advocating,hope
28,resp_0028,advocating,hope
29,resp_0029,taking_action,hope
30,resp_0030,all,trust
31,resp_0031,all,trust
32,resp_0032,all,trust
33,resp_0033,communicating,trust
34,resp_0034,communicating,trust
35,resp_0035,communicating,trust
36,resp_0036,communicating,trust
37,resp_0037,communicating,trust
38,resp_0038,communicating,trust
39,resp_0039,communicating,trust
40,resp_0040,communicating,trust
41,resp_0041,communicating,trust
42,resp_0042,communicating,trust
43,resp_0043,communicating,trust
44,resp_0044,engaging,trust
45,resp_0045,engaging,trust
46,resp_0046,advocating,trust
47,resp_0047,advocating,trust
48,resp_0048,advocating,trust
49,resp_0049,advocating,trust
50,resp_0050,advocating,trust
51,resp_0051,taking_action,trust
52,resp_0052,taking_action,trust
53,resp_0053,taking_action,trust
54,resp_0054,taking_action,trust
55,resp_0055,taking_action,trust
56,resp_0056,communicating,belonging
57,resp_0057,communicating,belonging
58,resp_0058,advocating,belonging
59,resp_0059,advocating,belonging
60,resp_0060,advocating,belonging
61,resp_0061,taking_action,belonging
62,resp_0062,communicating,hope_trust
63,resp_0063,communicating,hope_trust
64,resp_0064,communicating,hope_trust
65,resp_0065,communicating,hope_trust
66,resp_0066,communicating,hope_trust
67,resp_0067,communicating,hope_trust
68,resp_0068,engaging,hope_trust
69,resp_0069,engaging,hope_trust
70,resp_0070,engaging,hope_trust
71,resp_0071,engaging,hope_trust
72,resp_0072,engaging,hope_trust
73,resp_0073,engaging,hope_trust
74,resp_0074,engaging,hope_trust
75,resp_0075,engaging,hope_trust
76,resp_0076,engaging,hope_trust
77,resp_0077,engaging,hope_trust
78,resp_0078,engaging,hope_trust
79,resp_0079,engaging,hope_trust
80,resp_0080,advocating,hope_trust
81,resp_0081,advocating,hope_trust
82,resp_0082,advocating,hope_trust
83,resp_0083,advocating,hope_trust
84,resp_0084,advocating,hope_trust
85,resp_0085,advocating,hope_trust
86,resp_0086,advocating,hope_trust
87,resp_0087,advocating,hope_trust
88,resp_0088,advocating,hope_trust
89,resp_0089,advocating,hope_trust
90,resp_0090,advocating,hope_trust
91,resp_0091,advocating,hope_trust
92,resp_0092,advocating,hope_trust
93,resp_0093,taking_action,hope_trust
94,resp_0094,taking_action,hope_trust
95,resp_0095,taking_action,hope_trust
96,resp_0096,taking_action,hope_trust
97,resp_0097,taking_action,hope_trust
98,resp_0098,taking_action,hope_trust
99,resp_0099,taking_action,hope_trust
100,resp_0100,taking_action,hope_trust
101,resp_0101,taking_action,hope_trust
102,resp_0102,taking_action,hope_trust
103,resp_0103,taking_action,hope_trust
104,resp_0104,taking_action,hope_trust
105,resp_0105,taking_action,hope_trust
106,resp_0106,communicating,hope_belonging
107,resp_0107,communicating,hope_belonging
108,resp_0108,communicating,hope_belonging
109,resp_0109,communicating,hope_belonging
110,resp_0110,engaging,hope_belonging
111,resp_0111,engaging,hope_belonging
112,resp_0112,engaging,hope_belonging
113,resp_0113,engaging,hope_belonging
114,resp_0114,engaging,hope_belonging
115,resp_0115,advocating,hope_belonging
116,resp_0116,advocating,hope_belonging
117,resp_0117,advocating,hope_belonging
118,resp_0118,advocating,hope_belonging
119,resp_0119,advocating,hope_belonging
120,resp_0120,advocating,hope_belonging
121,resp_0121,taking_action,hope_belonging
122,resp_0122,taking_action,hope_belonging
123,resp_0123,taking_action,hope_belonging
124,resp_0124,all,trust_belonging
125,resp_0125,communicating,trust_belonging
126,resp_0126,communicating,trust_belonging
127,resp_0127,communicating,trust_belonging
128,resp_0128,engaging,trust_belonging
129,resp_0129,engaging,trust_belonging
130,resp_0130,engaging,trust_belonging
131,resp_0131,engaging,trust_belonging
132,resp_0132,engaging,trust_belonging
133,resp_0133,engaging,trust_belonging
134,resp_0134,advocating,trust_belonging
135,resp_0135,advocating,trust_belonging
136,resp_0136,taking_action,trust_belonging
137,resp_0137,taking_action,trust_belonging
138,resp_0138,taking_action,trust_belonging
139,resp_0139,taking_action,trust_belonging
140,resp_0140,taking_action,trust_belonging
141,resp_0141,taking_action,trust_belonging
142,resp_0142,taking_action,trust_belonging
143,resp_0143,taking_action,trust_belonging
144,resp_0144,taking_action,trust_belonging
145,resp_0145,all,hope_trust_belonging
146,resp_0146,all,hope_trust_belonging
147,resp_0147,all,hope_trust_belonging
148,resp_0148,all,hope_trust_belonging
149,resp_0149,all,hope_trust_belonging
150,resp_0150,all,hope_trust_belonging
151,resp_0151,all,hope_trust_belonging
152,resp_0152,all,hope_trust_belonging
153,resp_0153,all,hope_trust_belonging
154,resp_0154,all,hope_trust_belonging
155,resp_0155,all,hope_trust_belonging
156,resp_0156,all,hope_trust_belonging
157,resp_0157,all,hope_trust_belonging
158,resp_0158,all,hope_trust_belonging
159,resp_0159,all,hope_trust_belonging
160,resp_0160,all,hope_trust_belonging
161,resp_0161,all,hope_trust_belonging
162,resp_0162,all,hope_trust_belonging
163,resp_0163,communicating,hope_trust_belonging
164,resp_0164,communicating,hope_trust_belonging
165,resp_0165,communicating,hope_trust_belonging
166,resp_0166,communicating,hope_trust_belonging
167,resp_0167,communicating,hope_trust_belonging
168,resp_0168,communicating,hope_trust_belonging
169,resp_0169,communicating,hope_trust_belonging
170,resp_0170,communicating,hope_trust_belonging
171,resp_0171,communicating,hope_trust_belonging
172,resp_0172,engaging,hope_trust_belonging
173,resp_0173,engaging,hope_trust_belonging
174,resp_0174,engaging,hope_trust_belonging
175,resp_0175,engaging,hope_trust_belonging
176,resp_0176,engaging,hope_trust_belonging
177,resp_0177,engaging,hope_trust_belonging
178,resp_0178,engaging,hope_trust_belonging
179,resp_0179,engaging,hope_trust_belonging
180,resp_0180,advocating,hope_trust_belonging
181,resp_0181,advocating,hope_trust_belonging
182,resp_0182,advocating,hope_trust_belonging
183,resp_0183,advocating,hope_trust_belonging
