,response_id,advocating,all,communicating,engaging,taking_action,hope,trust,belonging
0,resp_0000,0,1,0,0,0,1,0,0
1,resp_0001,0,1,0,0,0,1,0,0
2,resp_0002,0,1,0,0,0,1,0,0
3,resp_0003,0,1,0,0,0,1,0,0
4,resp_0004,0,1,0,0,0,1,0,0
5,resp_0005,0,1,0,0,0,1,0,0
6,resp_0006,0,1,0,0,0,1,0,0
7,resp_0007,0,1,0,0,0,1,0,0
8,resp_0008,0,0,1,0,0,1,0,0
9,resp_0009,0,0,1,0,0,1,0,0
10,resp_0010,0,0,1,0,0,1,0,0
11,resp_0011,0,0,1,0,0,1,0,0
12,resp_0012,0,0,1,0,0,1,0,0
13,resp_0013,0,0,1,0,0,1,0,0
14,resp_0014,0,0,1,0,0,1,0,0
15,resp_0015,0,0,0,1,0,1,0,0
16,resp_0016,0,0,0,1,0,1,0,0
17,resp_0017,0,0,0,1,0,1,0,0
18,resp_0018,0,0,0,1,0,1,0,0
19,resp_0019,0,0,0,1,0,1,0,0
20,resp_0020,0,0,0,1,0,1,0,0
21,resp_0021,0,0,0,1,0,1,0,0
22,resp_0022,0,0,0,1,0,1,0,0
23,resp_0023,0,0,0,1,0,1,0,0
24,resp_0024,0,0,0,1,0,1,0,0
25,resp_0025,0,0,0,1,0,1,0,0
26,resp_0026,1,0,0,0,0,1,0,0
27,resp_0027,1,0,0,0,0,1,0,0
28,resp_0028,1,0,0,0,0,1,0,0
29,resp_0029,0,0,0,0,1,1,0,0
30,resp_0030,0,1,0,0,0,0,1,0
31,resp_0031,0,1,0,0,0,0,1,0
32,resp_0032,0,1,0,0,0,0,1,0
33,resp_0033,0,0,1,0,0,0,1,0
34,resp_0034,0,0,1,0,0,0,1,0
35,resp_0035,0,0,1,0,0,0,1,0
36,resp_0036,0,0,1,0,0,0,1,0
37,resp_0037,0,0,1,0,0,0,1,0
38,resp_0038,0,0,1,0,0,0,1,0
39,resp_0039,0,0,1,0,0,0,1,0
40,resp_0040,0,0,1,0,0,0,1,0
41,resp_0041,0,0,1,0,0,0,1,0
42,resp_0042,0,0,1,0,0,0,1,0
43,resp_0043,0,0,1,0,0,0,1,0
44,resp_0044,0,0,0,1,0,0,1,0
45,resp_0045,0,0,0,1,0,0,1,0
46,resp_0046,1,0,0,0,0,0,1,0
47,resp_0047,1,0,0,0,0,0,1,0
48,resp_0048,1,0,0,0,0,0,1,0
49,resp_0049,1,0,0,0,0,0,1,0
50,resp_0050,1,0,0,0,0,0,1,0
51,resp_0051,0,0,0,0,1,0,1,0
52,resp_0052,0,0,0,0,1,0,1,0
53,resp_0053,0,0,0,0,1,0,1,0
54,resp_0054,0,0,0,0,1,0,1,0
55,resp_0055,0,0,0,0,1,0,1,0
56,resp_0056,0,0,1,0,0,0,0,1
57,resp_0057,0,0,1,0,0,0,0,1
58,resp_0058,1,0,0,0,0,0,0,1
59,resp_0059,1,0,0,0,0,0,0,1
60,resp_0060,1,0,0,0,0,0,0,1
61,resp_0061,0,0,0,0,1,0,0,1
62,resp_0062,0,0,1,0,0,1,1,0
63,resp_0063,0,0,1,0,0,1,1,0
64,resp_0064,0,0,1,0,0,1,1,0
65,resp_0065,0,0,1,0,0,1,1,0
66,resp_0066,0,0,1,0,0,1,1,0
67,resp_0067,0,0,1,0,0,1,1,0
68,resp_0068,0,0,0,1,0,1,1,0
69,resp_0069,0,0,0,1,0,1,1,0
70,resp_0070,0,0,0,1,0,1,1,0
71,resp_0071,0,0,0,1,0,1,1,0
72,resp_0072,0,0,0,1,0,1,1,0
73,resp_0073,0,0,0,1,0,1,1,0
74,resp_0074,0,0,0,1,0,1,1,0
75,resp_0075,0,0,0,1,0,1,1,0
76,resp_0076,0,0,0,1,0,1,1,0
77,resp_0077,0,0,0,1,0,1,1,0
78,resp_0078,0,0,0,1,0,1,1,0
79,resp_0079,0,0,0,1,0,1,1,0
80,resp_0080,1,0,0,0,0,1,1,0
81,resp_0081,1,0,0,0,0,1,1,0
82,resp_0082,1,0,0,0,0,1,1,0
83,resp_0083,1,0,0,0,0,1,1,0
84,resp_0084,1,0,0,0,0,1,1,0
85,resp_0085,1,0,0,0,0,1,1,0
