,question_id,question_category,question_text,entity_pct_pos,entity_percentile,group_pct_pos,group_percentile,num_respondents,survey_name,survey_date,entity,work_setting,position,report_type,benchmark_date,group_entity_pct_pos_diff
150,q0,Improvement Readiness,"In this work setting, the learning environment effectively fixes defects to improve the quality of what we do.",68.0,56.0,75.0,58.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,7.0
151,q1,Improvement Readiness,"In this work setting, the learning environment allows us to pause and reflect on what we do well.",65.0,43.0,75.0,61.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,10.0
152,q2,Local Leadership,"In this work setting, local management regularly makes time to provide positive feedback to me about how I am doing.",65.0,54.0,80.0,71.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,15.0
153,q3,Local Leadership,"In this work setting, local management regularly makes time to pause and reflect with me about my work.",61.0,49.0,76.0,69.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,15.0
154,q4,Burnout Climate,People in this work setting are burned out from their work.,19.0,12.0,11.0,5.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,-8.0
155,q5,Personal Burnout,I feel burned out from my work.,32.0,4.0,15.0,99.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,-17.0
156,q6,Emotional Thriving,I have a chance to use my strengths every day at work.,75.0,,87.0,,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,12.0
157,q7,Teamwork,"In this work setting, it is difficult to speak up if I perceive a problem with patient care.",68.0,68.0,76.0,67.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,8.0
158,q8,Teamwork,Dealing with difficult colleagues is consistently a challenging part of my job.,53.0,78.0,65.0,81.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,12.0
159,q9,Teamwork,Communication breakdowns are common when this work setting interacts with other work settings.,46.0,85.0,51.0,73.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,5.0
160,q10,Safety Climate,I would feel safe being treated here as a patient.,81.0,83.0,98.0,86.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,17.0
161,q11,Safety Climate,"In this work setting, it is difficult to discuss errors.",65.0,76.0,74.0,72.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,9.0
162,q12,Safety Climate,The values of facility leadership are the same values that people in this work setting think are important.,57.0,59.0,54.0,44.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,-3.0
163,q13,Growth Opportunities,"With respect to the growth opportunities in this work setting, I have the feeling that I can achieve something.",66.0,23.0,89.0,86.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,23.0
164,q14,Job Certainty,"With respect to job-related uncertainty about the future in this work setting, I feel certain that I will keep my current job in the next year.",81.0,87.0,91.0,84.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,10.0
165,q15,Decision Making,With respect to the participation in decision making that I experience here I have a direct influence on my organization's decisions.,40.0,79.0,57.0,87.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,17.0
166,q16,Advancement,With respect to advancement in this organization I have opportunities to advance through training courses.,62.0,99.0,87.0,99.0,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,25.0
167,q17,Physical Safety,I feel safe from crime or violence in my (daily) workspace.,75.0,,59.0,,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,-16.0
168,q18,GME Questions,Faculty in my program participates in educational conferences.,69.0,,,,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,
169,q19,GME Questions,I feel comfortable speaking up if I am feeling tired while on duty.,25.0,,,,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,
170,q20,GME Questions,My Program Director is an effective leader.,64.0,,,,46.0,score,20201201,PPMC,pac4-tsicu,nurse,summary,20200901,
