,question_id,question_category,question_text,fac_pct_pos,fac_percentile,group_pct_pos,group_percentile,num_respondents,survey_name,survey_date,location,work_setting,position,report_type,benchmark_date,group_fac_pct_pos_diff
100,q0,Improvement Readiness,"In this work setting, the learning environment effectively fixes defects to improve the quality of what we do.",68.0,56.0,64.0,42.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-4.0
101,q1,Improvement Readiness,"In this work setting, the learning environment allows us to pause and reflect on what we do well.",65.0,43.0,62.0,35.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-3.0
102,q2,Local Leadership,"In this work setting, local management regularly makes time to provide positive feedback to me about how I am doing.",65.0,54.0,54.0,9.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-11.0
103,q3,Local Leadership,"In this work setting, local management regularly makes time to pause and reflect with me about my work.",61.0,49.0,53.0,19.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-8.0
104,q4,Burnout Climate,People in this work setting are burned out from their work.,19.0,12.0,14.0,8.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-5.0
105,q5,Personal Burnout,I feel burned out from my work.,32.0,4.0,28.0,3.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-4.0
106,q6,Emotional Thriving,I have a chance to use my strengths every day at work.,75.0,,75.0,,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,0.0
107,q7,Teamwork,"In this work setting, it is difficult to speak up if I perceive a problem with patient care.",68.0,68.0,67.0,63.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-1.0
108,q8,Teamwork,Dealing with difficult colleagues is consistently a challenging part of my job.,53.0,78.0,54.0,83.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,1.0
109,q9,Teamwork,Communication breakdowns are common when this work setting interacts with other work settings.,46.0,85.0,30.0,10.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-16.0
110,q10,Safety Climate,I would feel safe being treated here as a patient.,81.0,83.0,89.0,99.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,8.0
111,q11,Safety Climate,"In this work setting, it is difficult to discuss errors.",65.0,76.0,59.0,42.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-6.0
112,q12,Safety Climate,The values of facility leadership are the same values that people in this work setting think are important.,57.0,59.0,42.0,11.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-15.0
113,q13,Growth Opportunities,"With respect to the growth opportunities in this work setting, I have the feeling that I can achieve something.",66.0,23.0,50.0,3.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-16.0
114,q14,Job Certainty,"With respect to job-related uncertainty about the future in this work setting, I feel certain that I will keep my current job in the next year.",81.0,87.0,86.0,97.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,5.0
115,q15,Decision Making,With respect to the participation in decision making that I experience here I have a direct influence on my organization's decisions.,40.0,79.0,30.0,15.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-10.0
116,q16,Advancement,With respect to advancement in this organization I have opportunities to advance through training courses.,62.0,99.0,44.0,59.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-18.0
117,q17,Physical Safety,I feel safe from crime or violence in my (daily) workspace.,75.0,,79.0,,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,4.0
118,q18,GME Questions,Faculty in my program participates in educational conferences.,69.0,,,,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,
119,q19,GME Questions,I feel comfortable speaking up if I am feeling tired while on duty.,25.0,,,,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,
120,q20,GME Questions,My Program Director is an effective leader.,64.0,,,,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,
121,q21,GME Questions,I am satisfied with the mentoring I receive.,51.0,,,,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,
122,q22,GME Questions,The curriculum is of high educational value.,66.0,,,,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,
123,q23,GME Questions,Faculty in my program are effective teachers.,76.0,,,,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,
124,q24,GME Questions,I am satisfied with the feedback I have received.,46.0,,,,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,
200,q0,Improvement Readiness,"In this work setting, the learning environment effectively fixes defects to improve the quality of what we do.",68.0,56.0,68.0,56.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,0.0
201,q1,Improvement Readiness,"In this work setting, the learning environment allows us to pause and reflect on what we do well.",65.0,43.0,64.0,41.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,-1.0
202,q2,Local Leadership,"In this work setting, local management regularly makes time to provide positive feedback to me about how I am doing.",65.0,54.0,58.0,18.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,-7.0
203,q3,Local Leadership,"In this work setting, local management regularly makes time to pause and reflect with me about my work.",61.0,49.0,53.0,19.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,-8.0
204,q4,Burnout Climate,People in this work setting are burned out from their work.,19.0,12.0,23.0,41.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,4.0
205,q5,Personal Burnout,I feel burned out from my work.,32.0,4.0,38.0,18.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,6.0
206,q6,Emotional Thriving,I have a chance to use my strengths every day at work.,75.0,,71.0,,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,-4.0
207,q7,Teamwork,"In this work setting, it is difficult to speak up if I perceive a problem with patient care.",68.0,68.0,70.0,77.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,2.0
208,q8,Teamwork,Dealing with difficult colleagues is consistently a challenging part of my job.,53.0,78.0,51.0,74.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,-2.0
209,q9,Teamwork,Communication breakdowns are common when this work setting interacts with other work settings.,46.0,85.0,54.0,97.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,8.0
210,q10,Safety Climate,I would feel safe being treated here as a patient.,81.0,83.0,78.0,74.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,-3.0
211,q11,Safety Climate,"In this work setting, it is difficult to discuss errors.",65.0,76.0,70.0,94.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,5.0
212,q12,Safety Climate,The values of facility leadership are the same values that people in this work setting think are important.,57.0,59.0,62.0,79.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,5.0
213,q13,Growth Opportunities,"With respect to the growth opportunities in this work setting, I have the feeling that I can achieve something.",66.0,23.0,71.0,50.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,5.0
214,q14,Job Certainty,"With respect to job-related uncertainty about the future in this work setting, I feel certain that I will keep my current job in the next year.",81.0,87.0,96.0,99.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,15.0
215,q15,Decision Making,With respect to the participation in decision making that I experience here I have a direct influence on my organization's decisions.,40.0,79.0,48.0,92.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,8.0
216,q16,Advancement,With respect to advancement in this organization I have opportunities to advance through training courses.,62.0,99.0,69.0,99.0,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,7.0
217,q17,Physical Safety,I feel safe from crime or violence in my (daily) workspace.,75.0,,86.0,,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,11.0
218,q18,GME Questions,Faculty in my program participates in educational conferences.,69.0,,69.0,,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,0.0
219,q19,GME Questions,I feel comfortable speaking up if I am feeling tired while on duty.,25.0,,25.0,,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,0.0
220,q20,GME Questions,My Program Director is an effective leader.,64.0,,64.0,,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,0.0
221,q21,GME Questions,I am satisfied with the mentoring I receive.,51.0,,51.0,,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,0.0
222,q22,GME Questions,The curriculum is of high educational value.,66.0,,66.0,,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,0.0
223,q23,GME Questions,Faculty in my program are effective teachers.,76.0,,76.0,,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,0.0
224,q24,GME Questions,I am satisfied with the feedback I have received.,46.0,,46.0,,124.0,score,20201201,PPMC,all,physician-resident-fellow-attending,summary,20200901,0.0
225,q0,Improvement Readiness,"In this work setting, the learning environment effectively fixes defects to improve the quality of what we do.",68.0,56.0,68.0,56.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
226,q1,Improvement Readiness,"In this work setting, the learning environment allows us to pause and reflect on what we do well.",65.0,43.0,65.0,43.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
227,q2,Local Leadership,"In this work setting, local management regularly makes time to provide positive feedback to me about how I am doing.",65.0,54.0,65.0,54.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
228,q3,Local Leadership,"In this work setting, local management regularly makes time to pause and reflect with me about my work.",61.0,49.0,61.0,49.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
