,question_id,question_category,question_text,entity_pct_pos,entity_percentile,group_pct_pos,group_percentile,num_respondents,survey_name,survey_date,entity,work_setting,position,report_type,benchmark_date,group_entity_pct_pos_diff
100,q00,Improvement Readiness,"In this work setting, the learning environment effectively fixes defects to improve the quality of what we do.",68.0,56.0,64.0,42.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-4.0
101,q01,Improvement Readiness,"In this work setting, the learning environment allows us to pause and reflect on what we do well.",65.0,43.0,62.0,35.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-3.0
102,q02,Local Leadership,"In this work setting, local management regularly makes time to provide positive feedback to me about how I am doing.",65.0,54.0,54.0,9.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-11.0
103,q03,Local Leadership,"In this work setting, local management regularly makes time to pause and reflect with me about my work.",61.0,49.0,53.0,19.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-8.0
104,q04,Burnout Climate,People in this work setting are burned out from their work.,19.0,12.0,14.0,8.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-5.0
105,q05,Personal Burnout,I feel burned out from my work.,32.0,4.0,28.0,3.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-4.0
106,q06,Emotional Thriving,I have a chance to use my strengths every day at work.,75.0,,75.0,,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,0.0
107,q07,Teamwork,"In this work setting, it is difficult to speak up if I perceive a problem with patient care.",68.0,68.0,67.0,63.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-1.0
108,q08,Teamwork,Dealing with difficult colleagues is consistently a challenging part of my job.,53.0,78.0,54.0,83.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,1.0
109,q09,Teamwork,Communication breakdowns are common when this work setting interacts with other work settings.,46.0,85.0,30.0,10.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-16.0
110,q10,Safety Climate,I would feel safe being treated here as a patient.,81.0,83.0,89.0,99.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,8.0
111,q11,Safety Climate,"In this work setting, it is difficult to discuss errors.",65.0,76.0,59.0,42.0,73.0,score,20201201,PPMC,all,technologist-surg-lab-rag,summary,20200901,-6.0
